iter	Passed	Remaining
401	16266	3965
402	16305	3924
403	16343	3883
404	16383	3843
405	16425	3802
406	16466	3762
407	16508	3722
408	16549	3682
409	16586	3640
410	16623	3599
411	16663	3559
412	16703	3518
413	16746	3478
414	16788	3438
415	16830	3398
416	16871	3358
417	16911	3317
418	16951	3276
419	16990	3236
420	17029	3195
421	17068	3154
422	17108	3114
423	17147	3073
424	17188	3033
425	17232	2993
426	17272	2952
427	17311	2912
428	17353	2871
429	17392	2831
430	17431	2790
431	17471	2750
432	17511	2709
433	17550	2669
434	17588	2628
435	17628	2587
436	17672	2547
437	17712	2507
438	17750	2466
439	17790	2425
440	17829	2385
441	17871	2345
442	17911	2304
443	17950	2264
444	17988	2223
445	18026	2182
446	18067	2142
447	18120	2103
448	18168	2063
449	18209	2023
450	18249	1982
451	18291	1942
452	18332	1902
453	18372	1861
454	18412	1821
455	18451	1780
456	18492	1740
457	18534	1699
458	18574	1659
459	18615	1618
460	18673	1579
461	18713	1539
462	18754	1498
463	18793	1458
464	18834	1417
465	18878	1377
466	18922	1337
467	18966	1296
468	19012	1256
469	19054	1216
470	19097	1175
471	19138	1135
472	19178	1094
473	19216	1054
474	19255	1013
475	19295	972
476	19333	932
477	19373	891
478	19414	851
479	19453	810
480	19493	770
481	19533	729
482	19573	688
483	19613	648
484	19652	607
485	19691	567
486	19732	526
487	19772	486
488	19811	445
489	19850	405
490	19892	364
491	19934	324
492	19972	283
493	20012	243
494	20052	202
495	20090	162
496	20130	121
497	20171	81
498	20210	40
499	20249	0
