iter	Quantile:alpha=0.9
268	25.11762109
269	25.0649491
270	25.03845556
271	25.00276078
272	24.96049653
273	24.94485097
274	24.9214442
275	24.88212434
276	24.8702266
277	24.83031254
278	24.80400047
279	24.74711929
280	24.70982671
281	24.66396061
282	24.635108
283	24.58583266
284	24.56994396
285	24.52776268
286	24.48834569
287	24.440407
288	24.41404051
289	24.4070768
290	24.39871672
291	24.34994075
292	24.3283462
293	24.26285198
294	24.21921622
295	24.18694884
296	24.14244425
297	24.12717221
298	24.11317661
299	24.10363056
300	24.10178635
301	24.0208954
302	23.99934417
303	23.96251309
304	23.93222653
305	23.88866085
306	23.84925648
307	23.83036506
308	23.81426424
309	23.80079856
310	23.78970864
311	23.74485148
312	23.6989451
313	23.66648432
314	23.60706509
315	23.54009181
316	23.52296129
317	23.50282616
318	23.49235652
319	23.47208789
320	23.44168517
321	23.42206424
322	23.38599754
323	23.36812506
324	23.31273805
325	23.29404222
326	23.27672551
327	23.25066024
328	23.20706664
329	23.19344993
330	23.16530645
331	23.12127365
332	23.09378363
333	23.05963295
334	23.0396326
335	22.99676078
336	22.98342438
337	22.95791698
338	22.92683237
339	22.92122965
340	22.90126643
341	22.85410193
342	22.82855718
343	22.79891938
344	22.79004486
345	22.77722115
346	22.73896066
347	22.69672352
348	22.68277578
349	22.66575528
350	22.61962387
351	22.59009676
352	22.5315846
353	22.52431909
354	22.47899771
355	22.45122272
356	22.43802147
357	22.40703816
358	22.39120909
359	22.37178261
360	22.34950683
361	22.32727325
362	22.30315323
363	22.29540825
364	22.27037915
365	22.24608001
366	22.23695499
367	22.22143025
368	22.20963278
369	22.18373901
370	22.16227328
371	22.14543279
372	22.10574802
373	22.07576511
374	22.06059373
375	22.05151695
376	22.04388735
377	22.02486094
378	21.99525637
379	21.99263793
380	21.96620708
381	21.9431242
382	21.91731858
383	21.90785777
384	21.892234
385	21.88400157
386	21.87268597
387	21.80737365
388	21.78947433
389	21.74875168
390	21.71007126
391	21.70676007
392	21.68583018
393	21.64392461
394	21.62198457
395	21.62036558
396	21.59472952
397	21.57573277
398	21.54989522
399	21.5318298
400	21.5300718
401	21.51386863
402	21.50674519
403	21.50271813
404	21.49311703
405	21.47031298
406	21.44196782
407	21.41486436
408	21.39267502
409	21.35433648
410	21.35264557
411	21.32850925
412	21.31953495
413	21.2870055
414	21.27170778
415	21.25236417
416	21.2420951
417	21.23884444
418	21.21599601
419	21.20491063
420	21.19891058
421	21.18462493
422	21.17738015
423	21.17108293
424	21.14513921
425	21.13298387
426	21.13164561
427	21.13072548
428	21.11817262
429	21.10173398
430	21.09196736
431	21.08077247
432	21.06477056
433	21.06356764
434	21.06003992
435	21.02963257
436	21.0144914
437	20.98772098
438	20.95801844
439	20.9476184
440	20.94447393
441	20.92855126
442	20.92822217
443	20.92680988
444	20.91209688
445	20.88447812
446	20.85934308
447	20.85139767
448	20.83624364
449	20.82191875
450	20.82076326
451	20.79804883
452	20.77909182
453	20.77791277
454	20.74154547
455	20.7258315
456	20.72301804
457	20.71378023
458	20.69792441
459	20.67403221
460	20.64938502
461	20.64448877
462	20.62501284
463	20.61956959
464	20.61141041
465	20.60440787
466	20.59231627
467	20.57591
468	20.55409002
469	20.54866496
470	20.5310666
471	20.51760681
472	20.51505089
473	20.51459039
474	20.51181133
475	20.50678464
476	20.50611773
477	20.50434927
478	20.49205111
479	20.49173468
480	20.49095799
481	20.47780512
482	20.47065455
483	20.46411837
484	20.45485717
485	20.45315712
486	20.44977583
487	20.44791428
488	20.44743456
489	20.44712007
490	20.44308573
491	20.42706244
492	20.42347145
493	20.4190532
494	20.39708324
495	20.39639036
496	20.39355482
497	20.37769685
498	20.36281233
499	20.34517776
