iter	Passed	Remaining
198	8869	13416
199	8915	13372
200	8958	13325
201	9000	13277
202	9047	13237
203	9087	13185
204	9126	13132
205	9167	13083
206	9213	13040
207	9256	12994
208	9299	12948
209	9341	12900
210	9386	12856
211	9426	12805
212	9465	12754
213	9508	12707
214	9550	12659
215	9587	12605
216	9625	12553
217	9669	12507
218	9711	12460
219	9753	12413
220	9793	12364
221	9839	12321
222	9900	12297
223	9940	12248
224	9984	12202
225	10023	12151
226	10061	12100
227	10100	12050
228	10140	11999
229	10176	11946
230	10211	11891
231	10245	11835
232	10283	11784
233	10322	11734
234	10359	11681
235	10395	11628
236	10434	11578
237	10473	11529
238	10509	11477
239	10548	11427
240	10586	11377
241	10618	11320
242	10648	11262
243	10686	11211
244	10724	11162
245	10764	11114
246	10802	11065
247	10840	11015
248	10879	10966
249	10917	10917
250	10954	10867
251	10992	10818
252	11029	10767
253	11069	10721
254	11108	10672
255	11144	10621
256	11182	10573
257	11217	10522
258	11256	10473
259	11293	10424
260	11332	10377
261	11369	10328
262	11408	10280
263	11447	10233
264	11482	10182
265	11520	10134
266	11559	10087
267	11598	10040
268	11638	9994
269	11679	9948
270	11719	9902
271	11759	9857
272	11800	9812
273	11839	9765
274	11876	9717
275	11915	9670
276	11951	9621
277	11989	9574
278	12025	9525
279	12062	9477
280	12118	9444
281	12162	9402
282	12199	9354
283	12236	9306
284	12274	9259
285	12311	9212
286	12351	9166
287	12390	9120
288	12426	9072
289	12465	9026
290	12501	8978
291	12539	8932
292	12576	8885
293	12610	8836
294	12648	8789
295	12688	8744
296	12731	8701
297	12771	8657
298	12811	8612
299	12849	8566
300	12886	8519
301	12923	8473
302	12961	8427
303	12997	8379
304	13036	8334
305	13072	8287
306	13116	8245
307	13156	8201
308	13193	8155
309	13230	8109
310	13267	8062
311	13306	8017
312	13343	7971
313	13382	7927
314	13421	7882
315	13458	7836
316	13494	7790
317	13532	7744
318	13570	7699
319	13609	7655
320	13650	7611
321	13687	7566
322	13726	7521
323	13767	7478
324	13805	7433
325	13844	7389
326	13884	7345
327	13922	7300
328	13962	7256
329	14001	7212
330	14046	7171
331	14095	7132
332	14139	7090
333	14182	7048
334	14221	7004
335	14257	6959
336	14293	6913
337	14331	6868
338	14370	6824
339	14406	6779
340	14442	6734
341	14480	6689
342	14519	6645
343	14559	6602
344	14600	6559
345	14641	6516
346	14677	6471
347	14714	6426
348	14752	6382
349	14793	6339
350	14833	6296
351	14875	6254
352	14914	6210
353	14976	6176
354	15016	6133
355	15052	6088
356	15092	6045
357	15131	6001
358	15168	5957
359	15207	5914
360	15245	5870
361	15281	5825
362	15320	5781
363	15359	5738
364	15397	5695
365	15436	5651
366	15476	5608
367	15515	5565
368	15552	5521
369	15591	5478
370	15629	5434
371	15666	5390
372	15705	5347
373	15746	5305
374	15786	5262
375	15827	5219
376	15864	5175
377	15901	5132
378	15938	5088
379	15977	5045
380	16026	5005
381	16065	4962
382	16105	4919
383	16141	4875
384	16177	4832
385	16214	4788
386	16252	4745
387	16290	4702
388	16329	4659
389	16366	4616
390	16401	4572
391	16451	4532
392	16490	4489
393	16525	4445
394	16562	4402
395	16601	4360
396	16640	4317
397	16676	4273
398	16716	4231
399	16754	4188
400	16792	4145
401	16831	4103
402	16868	4060
403	16906	4017
404	16942	3974
405	16979	3931
406	17020	3889
407	17065	3848
408	17132	3811
409	17174	3769
410	17220	3729
411	17263	3687
412	17306	3645
413	17349	3604
414	17390	3561
415	17427	3519
416	17469	3477
417	17508	3434
418	17547	3392
419	17593	3351
420	17633	3308
421	17671	3266
422	17710	3223
423	17748	3181
424	17789	3139
425	17830	3097
426	17872	3055
427	17914	3013
428	17957	2971
429	17998	2929
430	18040	2888
431	18081	2846
432	18121	2804
433	18160	2761
434	18199	2719
435	18244	2678
436	18288	2636
437	18329	2594
438	18373	2552
439	18412	2510
440	18452	2468
441	18495	2426
442	18536	2385
443	18580	2343
444	18623	2301
445	18670	2260
446	18716	2219
447	18758	2177
448	18800	2135
449	18841	2093
450	18886	2051
451	18927	2010
452	18966	1967
453	19009	1926
454	19051	1884
455	19091	1842
456	19135	1800
457	19176	1758
458	19218	1716
459	19259	1674
460	19299	1632
461	19342	1590
462	19382	1548
463	19428	1507
464	19473	1465
465	19514	1423
466	19556	1381
467	19601	1340
468	19645	1298
469	19689	1256
470	19734	1215
471	19776	1173
472	19813	1130
473	19852	1088
474	19894	1047
475	19935	1005
476	19976	963
477	20013	921
478	20053	879
479	20092	837
480	20132	795
481	20171	753
482	20210	711
483	20248	669
484	20285	627
485	20324	585
486	20363	543
487	20402	501
488	20441	459
489	20481	417
490	20520	376
491	20559	334
492	20599	292
493	20639	250
494	20680	208
495	20718	167
496	20758	125
497	20795	83
498	20833	41
499	20869	0
