iter	RMSE
353	135.3211562
354	135.0944236
355	134.9060925
356	134.7135465
357	134.6418158
358	134.4515208
359	134.2853479
360	134.1438362
361	133.8245231
362	133.6960063
363	133.6153986
364	133.4400965
365	133.2269968
366	132.9772364
367	132.8200067
368	132.6394729
369	132.4313683
370	132.201864
371	132.0097376
372	131.8816631
373	131.7076614
374	131.5675599
375	131.4207924
376	131.2599704
377	131.0828306
378	130.9841179
379	130.505784
380	130.3091444
381	130.1413672
382	130.0313744
383	129.7991846
384	129.5625564
385	129.4301251
386	129.2293816
387	129.0193474
388	128.7543794
389	128.6447211
390	128.4335029
391	128.3415947
392	128.1608061
393	127.9432691
394	127.8691524
395	127.7091424
396	127.512227
397	127.3729137
398	127.1682953
399	127.0030394
400	126.8337363
401	126.5459285
402	126.3035607
403	126.1269981
404	125.9376136
405	125.7502914
406	125.5904946
407	125.0868446
408	124.916033
409	124.7650903
410	124.6748013
411	124.4834247
412	124.3525486
413	124.1912043
414	124.0986316
415	123.8540178
416	123.7172115
417	123.6407076
418	123.4754949
419	123.3593758
420	123.2936844
421	123.0543483
422	122.9333966
423	122.7607014
424	122.5265398
425	122.3180272
426	121.8005977
427	121.6544934
428	121.4467467
429	121.1946358
430	121.0012267
431	120.8181929
432	120.6398341
433	120.3489087
434	120.2048576
435	120.0812656
436	119.9591188
437	119.8098528
438	119.7048872
439	119.4583362
440	119.3422793
441	119.2290296
442	119.1406602
443	119.0211822
444	118.7850226
445	118.6634973
446	118.5978588
447	118.4724374
448	118.1356948
449	118.0078867
450	117.9021919
451	117.7805033
452	117.6845442
453	117.5075495
454	117.3697433
455	117.2758646
456	117.1563771
457	117.0342148
458	116.8688277
459	116.7923892
460	116.6242794
461	116.5192529
462	116.4480753
463	116.3457834
464	116.1660925
465	116.0882295
466	115.9151547
467	115.786403
468	115.5192783
469	115.4076961
470	115.2652573
471	115.0887702
472	114.8695298
473	114.7549513
474	114.6435106
475	114.4753268
476	114.3877179
477	114.3225065
478	114.1613152
479	114.0918235
480	114.0730061
481	113.9244953
482	113.742986
483	113.5500922
484	113.3851954
485	113.2709161
486	113.1239031
487	113.0031932
488	112.9666785
489	112.8212501
490	112.6802574
491	112.6148832
492	112.5429664
493	112.447173
494	112.2575428
495	112.0509366
496	111.9165031
497	111.8405325
498	111.7426036
499	111.5760334
