iteration,train_rmse,validation_rmse
105,243.40868642934745,236.24246622919978
106,242.6513449322031,235.4799639631265
107,241.7791275411124,234.682770639524
108,240.89891892885362,233.89383679146536
109,240.07375215218408,233.01822049967916
110,239.04730170819386,232.3005231462531
111,238.24535794893634,231.54320043396973
112,237.07812612735282,230.416198759468
113,236.41212873392521,229.45242640629908
114,235.45537153757797,228.5516580488118
115,234.44744718477372,227.61884671834574
116,233.7139767946266,226.7260369606337
117,232.95054942206062,225.87906839443696
118,232.36636195545242,225.07971174463896
119,231.78010772261246,224.5409146692973
120,230.97299024665605,223.69250929801942
121,230.27082976207893,222.86320558044326
122,229.18189994482404,221.61207184767542
123,228.41757398408149,221.02574903857516
124,227.66759484804342,220.39468976047854
125,226.84297671616406,219.41390015355043
126,226.22936264858382,218.586172176278
127,225.4857925711662,217.99744411710176
128,225.03503186535215,217.60428670859855
129,224.24789198763983,216.92776934288221
130,223.614044064552,216.23000853703942
131,222.91535610557193,215.68459323888072
132,222.0555810573928,214.92099574432518
133,221.34353733696668,214.24090924069193
134,220.6519395344888,213.86020636792819
135,220.19657413653894,213.4915614286122
136,219.64442570764936,213.14557622891508
137,218.83843671573013,212.39431827029054
138,218.12339564629812,211.88498669472398
139,217.21787625409172,210.98380745842516
140,216.63325604547836,210.45669807201054
141,215.91684807865084,209.82011042367324
142,215.41969918006464,209.40477771393233
143,214.80426316977216,209.03508294907218
144,214.39144255278333,208.5544013734424
145,213.93617540958974,208.2364724253181
146,213.44082991657683,208.03881325166645
147,212.6476029613172,207.54493313403862
148,211.52152830646847,206.23837943411988
149,211.10402037316936,205.8828293419735
150,210.61961218283605,205.2831225060134
151,210.15327390101172,204.87596456125843
152,209.22761630241854,203.85100881789057
153,208.39085264807167,203.0643347767968
154,207.9849517431066,202.69276055660717
155,207.4400388190633,202.23674524141447
156,206.8471339099456,201.7543967493079
157,206.3414430559885,201.15686083701314
158,205.521481722301,200.3110757314478
159,205.12140142373605,200.0075395323543
160,204.7214770296477,199.73215006191313
161,204.2418820661674,199.39684641356558
162,203.78588330949174,198.92522388745326
163,203.33922050558436,198.46434833183716
164,202.75237648771508,198.07488990314178
165,202.2303180832923,197.40783704319247
166,201.89731837893345,197.11925664513365
167,201.37192933800117,196.5950819225765
168,200.67814265154837,196.25650583659663
169,200.24668328793908,195.91086009663132
170,199.72139662362864,195.48866185426348
171,199.26601644290173,195.03062729994969
172,198.79361722843205,194.58376000623747
173,197.51830554188294,193.29091170862966
174,196.4467183305886,192.90381887353104
175,196.01322750931536,192.38722353638354
176,195.71267620026765,192.02962243517567
177,195.41920308290082,191.80183392124792
178,194.98406612611208,191.3203766739308
179,194.59257979437712,190.8006959019463
180,194.13609304680685,190.3885503502295
181,193.6150414530979,189.8701448302179
182,193.22818105702638,189.51271368148986
183,192.79551429609418,188.7983969529449
184,192.43015761975443,188.4916317238322
185,192.07067086525416,188.25102423777176
186,191.52326387605603,187.8822040109626
187,191.1340419012983,187.61078769993108
188,190.73900816188447,187.34557620905719
189,190.29447424115259,186.96733603587086
190,189.93493922473175,186.85231170679424
191,189.5225959396431,186.73399963703093
192,189.14356883172914,186.36448184867137
193,188.81676421358526,186.27833192717367
194,188.38200105243305,185.99820146999988
195,188.06747355688003,185.65583868328326
196,187.52434405751876,185.2486648267888
197,186.9032858667375,184.659345201064
198,186.26450204549323,183.7853017617305
199,184.38344666581733,181.90536879902749
200,183.99890848510896,181.74341572606954
201,183.39626502180627,181.27361896073643
202,182.85822926206413,180.9239453288876
203,182.6147835700954,180.65887972955508
204,182.29431904069145,180.31011686645715
205,181.71976801553757,179.72660109524466
206,181.4028868182298,179.3205027423765
207,181.1262370117698,179.15595885842566
208,180.62099637463663,178.65161976257738
209,180.23790042589107,178.44244453139018
210,179.78144543772333,178.102528602491
211,179.5153836030031,177.99193324652427
212,179.15966868235475,177.81960088500045
213,178.66042610231267,177.76883189829695
214,178.40255242129635,177.68270421831116
215,178.10157705488123,177.45280115719194
216,177.64278665425462,177.06183700933275
217,177.2674371221582,176.7328784535827
218,176.90858018133446,176.37856673402294
219,176.60081081387415,176.23594490111785
220,176.33274093787543,176.11528464060123
221,176.01295360222514,175.79198574251427
222,175.47177755451708,175.55996354235893
223,175.2024365835499,175.29502988214648
224,174.8940285364742,175.01900619098558
225,174.59476284142224,174.64168383467904
226,174.36701143262175,174.56796858470935
227,173.99360414328436,174.26209533042902
228,173.6201290449207,173.9998987435917
229,173.34190732816833,173.90684668800546
230,173.0610396927797,173.77466343914668
231,172.58418936459037,173.63785625324377
232,172.18174228814925,173.35485255695016
233,171.86542594974546,173.26380852544094
234,171.59706285654076,173.06549507236372
235,171.13807445238962,172.67616679234808
236,170.80916074875927,172.34705969983295
237,170.46359106022487,172.18106516930212
238,170.06324610557488,171.79321166928153
239,169.85014854812547,171.56725018356929
240,169.46166229935437,171.2089770848289
241,169.22408390302513,171.1087896778599
242,168.9352987476608,170.94907894007684
243,168.58677376398506,170.85612641102003
244,168.41121731268152,170.78741127849258
245,168.14959043359445,170.55482143649994
246,167.8560557354487,170.41672144841274
247,167.65934234900593,170.34971714386762
248,167.36707484799982,170.17829565352807
249,166.85637766449273,169.76707058315978
250,166.43825602961812,169.6835314264377
251,166.17314384343874,169.16316627227258
252,165.86216144538238,168.99755487889144
253,165.46357205486203,168.82913725729534
